Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9051,Food Service Managers,5180,7040,1860,35.9,1870,4880,8610,29.53,61441.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9081,Lodging Managers,650,860,210,32.3,290,520,1020,31.16,64811.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9111,Medical and Health Services Managers,4020,5660,1640,40.8,1210,2460,5310,50.96,106003.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9121,Natural Sciences Managers,600,750,150,25.0,130,330,610,80.28,166986.00,Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9141,"Property, Real Estate, and Community Association Managers",9820,11230,1410,14.4,4000,3970,9380,29.72,61809.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9151,Social and Community Service Managers,1820,2110,290,15.9,590,1050,1930,37.52,78038.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9198,"Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other",10790,13140,2350,21.8,2780,5870,11000,0.00,0.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,13-0000,Business and Financial Operations Occupations,126600,147330,20730,16.4,35230,78930,134890,38.38,79840.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,13-1000,Business Operations Specialists,84450,100000,15550,18.4,24100,53970,93620,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1020,Buyers and Purchasing Agents,6030,6170,140,2.3,2070,3910,6120,31.42,65347.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1031,"Claims Adjusters, Examiners, and Investigators",2200,2170,-30,-1.4,510,1140,1620,38.48,80040.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1032,"Insurance Appraisers, Auto Damage",130,140,10,7.7,30,70,110,31.00,64477.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1041,Compliance Officers,4550,5060,510,11.2,1160,2560,4230,39.27,81673.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1051,Cost Estimators,3320,3690,370,11.1,990,2120,3480,33.58,69855.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1071,Human Resources Specialists,8100,9910,1810,22.3,2440,5980,10230,35.83,74527.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1075,Labor Relations Specialists,390,380,-10,-2.6,100,250,340,40.47,84186.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1081,Logisticians,2390,3420,1030,43.1,610,1890,3530,39.59,82342.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1111,Management Analysts,10410,12460,2050,19.7,3680,6580,12310,48.01,99855.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1121,"Meeting, Convention, and Event Planners",1260,1700,440,34.9,440,1090,1970,29.88,62162.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1131,Fundraisers,500,620,120,24.0,170,360,650,30.69,63835.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",830,950,120,14.5,270,520,910,38.03,79102.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1151,Training and Development Specialists,2800,3330,530,18.9,930,1880,3340,31.43,65364.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1161,Market Research Analysts and Marketing Specialists,11200,14920,3720,33.2,3100,9540,16360,36.63,76197.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",30180,34930,4750,15.7,7550,15960,28260,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,13-2000,Financial Specialists,42150,47320,5170,12.3,11140,24960,41270,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2011,Accountants and Auditors,17130,19560,2430,14.2,5110,10870,18410,39.20,81537.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2020,Property Appraisers and Assessors,830,960,130,15.7,340,330,800,38.44,79955.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2031,Budget Analysts,250,280,30,12.0,60,140,230,43.86,91227.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2041,Credit Analysts,1170,1200,30,2.6,200,790,1020,38.34,79738.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2052,Personal Financial Advisors,5780,6420,640,11.1,1380,3000,5020,49.18,102296.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2053,Insurance Underwriters,1190,1210,20,1.7,250,630,900,39.93,83037.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2061,Financial Examiners,520,640,120,23.1,150,270,540,38.35,79757.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2071,Credit Counselors,200,230,30,15.0,50,120,200,24.68,51353.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2072,Loan Officers,7630,8410,780,10.2,1720,4370,6870,30.17,62758.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",350,330,-20,-5.7,130,150,260,50.91,105899.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",6060,6950,890,14.7,1140,3710,5740,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,15-0000,Computer and Mathematical Occupations,57040,67550,10510,18.4,13360,30700,54570,50.03,104066.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,15-1200,Computer Occupations,54460,64010,9550,17.5,12730,29260,51540,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1211,Computer Systems Analysts,4530,5010,480,10.6,930,2350,3760,51.68,107476.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1212,Information Security Analysts,970,1360,390,40.2,180,640,1210,58.45,121583.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1221,Computer and Information Research Scientists,300,420,120,40.0,60,180,360,69.39,144328.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1231,Computer Network Support Specialists,1280,1460,180,14.1,260,730,1170,37.11,77178.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1232,Computer User Support Specialists,5750,6510,760,13.2,1150,3240,5150,30.20,62824.00,"Some college, no degree",None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1241,Computer Network Architects,1580,1740,160,10.1,230,750,1140,60.12,125050.00,Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1244,Network and Computer Systems Administrators,2520,2750,230,9.1,440,1240,1910,47.45,98696.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1245,Database Administrators and Architects,2450,2740,290,11.8,600,1270,2160,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1251,Computer Programmers,1910,1790,-120,-6.3,370,840,1090,51.27,106638.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,22120,27590,5470,24.7,5760,12190,23420,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1257,Web Developers and Digital Interface Designers,2480,2960,480,19.4,630,1330,2440,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1299,"Computer Occupations, All Other",8600,9690,1090,12.7,2120,4480,7690,41.71,86761.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,15-2000,Mathematical Science Occupations,2580,3540,960,37.2,620,1440,3020,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2011,Actuaries,180,240,60,33.3,30,80,170,60.12,125050.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2031,Operations Research Analysts,870,1150,280,32.2,220,440,940,39.37,81895.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2041,Statisticians,230,350,120,52.2,60,150,330,51.00,106093.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",1280,1790,510,39.8,310,770,1590,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,17-0000,Architecture and Engineering Occupations,34400,39340,4940,14.4,8870,17570,31380,47.34,98473.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-1000,"Architects, Surveyors, and Cartographers",3420,3930,510,14.9,1050,1600,3160,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1011,"Architects, Except Landscape and Naval",2480,2880,400,16.1,740,1140,2280,45.27,94158.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1012,Landscape Architects,390,430,40,10.3,110,170,320,39.48,82129.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1022,Surveyors,470,520,50,10.6,170,250,470,49.09,102104.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-2000,Engineers,22390,25960,3570,15.9,5070,10250,18890,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2011,Aerospace Engineers,1140,1300,160,14.0,250,420,830,65.44,136124.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2031,Biomedical Engineers,350,420,70,20.0,80,160,310,49.64,103265.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2041,Chemical Engineers,180,200,20,11.1,40,70,130,51.18,106448.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2051,Civil Engineers,4140,4950,810,19.6,900,2260,3970,49.36,102676.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2061,Computer Hardware Engineers,1070,1210,140,13.1,220,540,900,68.00,141445.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2071,Electrical Engineers,3340,3920,580,17.4,860,1450,2890,54.34,113016.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2072,"Electronics Engineers, Except Computer",2250,2510,260,11.6,570,950,1780,53.20,110645.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2081,Environmental Engineers,370,430,60,16.2,90,200,350,50.58,105191.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",130,140,10,7.7,30,50,90,64.19,133511.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2112,Industrial Engineers,2600,3180,580,22.3,630,1160,2370,49.92,103838.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2131,Materials Engineers,240,270,30,12.5,50,100,180,48.52,100921.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2141,Mechanical Engineers,3260,3700,440,13.5,600,1430,2470,49.60,103173.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2199,"Engineers, All Other",3210,3600,390,12.1,720,1410,2520,49.96,103898.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",8590,9450,860,10.0,2750,5720,9330,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3011,Architectural and Civil Drafters,2120,2410,290,13.7,700,1440,2430,30.89,64254.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3012,Electrical and Electronics Drafters,500,540,40,8.0,160,330,530,30.78,64028.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3013,Mechanical Drafters,600,600,0,0.0,180,380,560,30.00,62412.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3019,"Drafters, All Other",260,260,0,0.0,80,170,250,24.47,50889.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3021,Aerospace Engineering and Operations Technicians,110,130,20,18.2,40,70,130,38.92,80962.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3022,Civil Engineering Technicians,430,480,50,11.6,140,280,470,31.05,64580.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3023,Electrical and Electronics Engineering Technicians,2140,2240,100,4.7,660,1350,2110,31.24,64966.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3024,Electro-Mechanical Technicians,230,250,20,8.7,70,150,240,30.06,62536.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3025,Environmental Engineering Technicians,110,130,20,18.2,40,70,130,29.90,62189.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3026,Industrial Engineering Technicians,370,420,50,13.5,120,240,410,30.38,63179.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3027,Mechanical Engineering Technicians,450,520,70,15.6,150,300,520,30.38,63179.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3031,Surveying and Mapping Technicians,350,390,40,11.4,130,320,490,39.18,81504.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3098,"Calibration and Engineering Technologists and Technicians, Except Drafters, All Other",930,1090,160,17.2,300,620,1080,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,19-0000,"Life, Physical, and Social Science Occupations",13100,15770,2670,20.4,3050,9860,15580,37.33,77641.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-1000,Life Scientists,2550,3140,590,23.1,430,1840,2860,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1012,Food Scientists and Technologists,110,110,0,0.0,20,90,110,41.05,85374.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1021,Biochemists and Biophysicists,150,180,30,20.0,30,120,180,47.42,98627.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1022,Microbiologists,240,280,40,16.7,40,180,260,49.35,102658.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1029,"Biological Scientists, All Other",560,700,140,25.0,100,440,680,42.01,87370.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1042,"Medical Scientists, Except Epidemiologists",1250,1570,320,25.6,190,810,1320,50.76,105590.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-2000,Physical Scientists,2250,2720,470,20.9,390,1860,2720,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2012,Physicists,110,150,40,36.4,20,60,120,65.62,136497.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2031,Chemists,900,1080,180,20.0,150,740,1070,38.97,81073.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2041,"Environmental Scientists and Specialists, Including Health",820,990,170,20.7,150,720,1040,39.56,82286.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",230,270,40,17.4,40,200,280,39.73,82629.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-3000,Social Scientists and Related Workers,2820,3270,450,16.0,700,1530,2680,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3011,Economists,150,180,30,20.0,30,80,140,63.66,132420.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3031,"Clinical, Counseling, and School Psychologists",1510,1700,190,12.6,420,630,1240,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3039,"Psychologists, All Other",130,140,10,7.7,40,50,100,82.22,171000.00,Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3051,Urban and Regional Planners,450,520,70,15.6,80,340,490,49.16,102248.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3091,Anthropologists and Archeologists,140,170,30,21.4,30,100,160,30.75,63951.00,Master's degree,None,None
